name,faith,adjustment
Canvas Talisman,14,122
Canvas Talisman,15,124
Canvas Talisman,16,130
Canvas Talisman,17,136
Canvas Talisman,18,142
Canvas Talisman,19,148
Canvas Talisman,20,154
Canvas Talisman,21,155
Canvas Talisman,22,157
Canvas Talisman,23,159
Canvas Talisman,24,161
Canvas Talisman,25,163
Canvas Talisman,26,164
Canvas Talisman,27,166
Canvas Talisman,28,168
Canvas Talisman,29,170
Canvas Talisman,30,172
Canvas Talisman,31,173
Canvas Talisman,32,175
Canvas Talisman,33,177
Canvas Talisman,34,179
Canvas Talisman,35,181
Canvas Talisman,36,182
Canvas Talisman,37,184
Canvas Talisman,38,186
Canvas Talisman,39,188
Canvas Talisman,40,190
Canvas Talisman,41,191
Canvas Talisman,42,193
Canvas Talisman,43,195
Canvas Talisman,44,197
Canvas Talisman,45,199
Canvas Talisman,46,200
Canvas Talisman,47,202
Canvas Talisman,48,204
Canvas Talisman,49,206
Canvas Talisman,50,208
Canvas Talisman,51,208
Canvas Talisman,52,208
Canvas Talisman,53,208
Canvas Talisman,54,208
Canvas Talisman,55,209
Canvas Talisman,56,209
Canvas Talisman,57,209
Canvas Talisman,58,209
Canvas Talisman,59,209
Canvas Talisman,60,210
Canvas Talisman,61,210
Canvas Talisman,62,210
Canvas Talisman,63,211
Canvas Talisman,64,211
Canvas Talisman,65,211
Canvas Talisman,66,211
Canvas Talisman,67,212
Canvas Talisman,68,212
Canvas Talisman,69,212
Canvas Talisman,70,212
Canvas Talisman,71,213
Canvas Talisman,72,213
Canvas Talisman,73,213
Canvas Talisman,74,213
Canvas Talisman,75,214
Canvas Talisman,76,214
Canvas Talisman,77,214
Canvas Talisman,78,214
Canvas Talisman,79,215
Canvas Talisman,80,215
Canvas Talisman,81,215
Canvas Talisman,82,215
Canvas Talisman,83,216
Canvas Talisman,84,216
Canvas Talisman,85,216
Canvas Talisman,86,216
Canvas Talisman,87,217
Canvas Talisman,88,217
Canvas Talisman,89,217
Canvas Talisman,90,217
Canvas Talisman,91,217
Canvas Talisman,92,218
Canvas Talisman,93,218
Canvas Talisman,94,218
Canvas Talisman,95,219
Canvas Talisman,96,219
Canvas Talisman,97,219
Canvas Talisman,98,219
Canvas Talisman,99,220
Darkmoon Talisman,24,100
Darkmoon Talisman,25,100
Darkmoon Talisman,26,111
Darkmoon Talisman,27,122
Darkmoon Talisman,28,133
Darkmoon Talisman,29,144
Darkmoon Talisman,30,156
Darkmoon Talisman,31,159
Darkmoon Talisman,32,163
Darkmoon Talisman,33,166
Darkmoon Talisman,34,170
Darkmoon Talisman,35,173
Darkmoon Talisman,36,177
Darkmoon Talisman,37,180
Darkmoon Talisman,38,184
Darkmoon Talisman,39,187
Darkmoon Talisman,40,191
Darkmoon Talisman,41,194
Darkmoon Talisman,42,198
Darkmoon Talisman,43,201
Darkmoon Talisman,44,205
Darkmoon Talisman,45,208
Darkmoon Talisman,46,211
Darkmoon Talisman,47,215
Darkmoon Talisman,48,219
Darkmoon Talisman,49,222
Darkmoon Talisman,50,226
Darkmoon Talisman,51,226
Darkmoon Talisman,52,226
Darkmoon Talisman,53,226
Darkmoon Talisman,54,227
Darkmoon Talisman,55,227
Darkmoon Talisman,56,227
Darkmoon Talisman,57,228
Darkmoon Talisman,58,228
Darkmoon Talisman,59,228
Darkmoon Talisman,60,228
Darkmoon Talisman,61,229
Darkmoon Talisman,62,229
Darkmoon Talisman,63,229
Darkmoon Talisman,64,230
Darkmoon Talisman,65,230
Darkmoon Talisman,66,230
Darkmoon Talisman,67,230
Darkmoon Talisman,68,231
Darkmoon Talisman,69,231
Darkmoon Talisman,70,231
Darkmoon Talisman,71,232
Darkmoon Talisman,72,232
Darkmoon Talisman,73,232
Darkmoon Talisman,74,232
Darkmoon Talisman,75,233
Darkmoon Talisman,76,233
Darkmoon Talisman,77,233
Darkmoon Talisman,78,234
Darkmoon Talisman,79,234
Darkmoon Talisman,80,234
Darkmoon Talisman,81,234
Darkmoon Talisman,82,235
Darkmoon Talisman,83,235
Darkmoon Talisman,84,235
Darkmoon Talisman,85,236
Darkmoon Talisman,86,236
Darkmoon Talisman,87,236
Darkmoon Talisman,88,236
Darkmoon Talisman,89,237
Darkmoon Talisman,90,237
Darkmoon Talisman,91,237
Darkmoon Talisman,92,238
Darkmoon Talisman,93,238
Darkmoon Talisman,94,238
Darkmoon Talisman,95,238
Darkmoon Talisman,96,239
Darkmoon Talisman,97,239
Darkmoon Talisman,98,239
Darkmoon Talisman,99,240
Ivory Talisman,16,102
Ivory Talisman,17,105
Ivory Talisman,18,108
Ivory Talisman,19,110
Ivory Talisman,20,113
Ivory Talisman,21,117
Ivory Talisman,22,120
Ivory Talisman,23,124
Ivory Talisman,24,127
Ivory Talisman,25,131
Ivory Talisman,26,135
Ivory Talisman,27,138
Ivory Talisman,28,142
Ivory Talisman,29,145
Ivory Talisman,30,149
Ivory Talisman,31,153
Ivory Talisman,32,156
Ivory Talisman,33,160
Ivory Talisman,34,163
Ivory Talisman,35,167
Ivory Talisman,36,171
Ivory Talisman,37,174
Ivory Talisman,38,178
Ivory Talisman,39,181
Ivory Talisman,40,185
Ivory Talisman,41,189
Ivory Talisman,42,192
Ivory Talisman,43,196
Ivory Talisman,44,199
Ivory Talisman,45,203
Ivory Talisman,46,207
Ivory Talisman,47,210
Ivory Talisman,48,214
Ivory Talisman,49,217
Ivory Talisman,50,221
Ivory Talisman,51,221
Ivory Talisman,52,222
Ivory Talisman,53,222
Ivory Talisman,54,222
Ivory Talisman,55,222
Ivory Talisman,56,223
Ivory Talisman,57,223
Ivory Talisman,58,223
Ivory Talisman,59,223
Ivory Talisman,60,224
Ivory Talisman,61,224
Ivory Talisman,62,224
Ivory Talisman,63,225
Ivory Talisman,64,225
Ivory Talisman,65,225
Ivory Talisman,66,225
Ivory Talisman,67,226
Ivory Talisman,68,226
Ivory Talisman,69,226
Ivory Talisman,70,227
Ivory Talisman,71,227
Ivory Talisman,72,227
Ivory Talisman,73,227
Ivory Talisman,74,228
Ivory Talisman,75,228
Ivory Talisman,76,228
Ivory Talisman,77,228
Ivory Talisman,78,229
Ivory Talisman,79,229
Ivory Talisman,80,229
Ivory Talisman,81,230
Ivory Talisman,82,230
Ivory Talisman,83,230
Ivory Talisman,84,230
Ivory Talisman,85,231
Ivory Talisman,86,231
Ivory Talisman,87,231
Ivory Talisman,88,231
Ivory Talisman,89,232
Ivory Talisman,90,232
Ivory Talisman,91,232
Ivory Talisman,92,233
Ivory Talisman,93,233
Ivory Talisman,94,233
Ivory Talisman,95,233
Ivory Talisman,96,234
Ivory Talisman,97,234
Ivory Talisman,98,234
Ivory Talisman,99,234
Sunlight Talisman,14,100
Sunlight Talisman,15,100
Sunlight Talisman,16,102
Sunlight Talisman,17,105
Sunlight Talisman,18,108
Sunlight Talisman,19,110
Sunlight Talisman,20,113
Sunlight Talisman,21,117
Sunlight Talisman,22,120
Sunlight Talisman,23,124
Sunlight Talisman,24,127
Sunlight Talisman,25,131
Sunlight Talisman,26,135
Sunlight Talisman,27,138
Sunlight Talisman,28,142
Sunlight Talisman,29,145
Sunlight Talisman,30,149
Sunlight Talisman,31,153
Sunlight Talisman,32,156
Sunlight Talisman,33,160
Sunlight Talisman,34,163
Sunlight Talisman,35,167
Sunlight Talisman,36,171
Sunlight Talisman,37,174
Sunlight Talisman,38,178
Sunlight Talisman,39,181
Sunlight Talisman,40,185
Sunlight Talisman,41,189
Sunlight Talisman,42,192
Sunlight Talisman,43,196
Sunlight Talisman,44,199
Sunlight Talisman,45,203
Sunlight Talisman,46,207
Sunlight Talisman,47,210
Sunlight Talisman,48,214
Sunlight Talisman,49,217
Sunlight Talisman,50,221
Sunlight Talisman,51,221
Sunlight Talisman,52,222
Sunlight Talisman,53,222
Sunlight Talisman,54,222
Sunlight Talisman,55,222
Sunlight Talisman,56,223
Sunlight Talisman,57,223
Sunlight Talisman,58,223
Sunlight Talisman,59,223
Sunlight Talisman,60,224
Sunlight Talisman,61,224
Sunlight Talisman,62,224
Sunlight Talisman,63,225
Sunlight Talisman,64,225
Sunlight Talisman,65,225
Sunlight Talisman,66,225
Sunlight Talisman,67,226
Sunlight Talisman,68,226
Sunlight Talisman,69,226
Sunlight Talisman,70,227
Sunlight Talisman,71,227
Sunlight Talisman,72,227
Sunlight Talisman,73,227
Sunlight Talisman,74,228
Sunlight Talisman,75,228
Sunlight Talisman,76,228
Sunlight Talisman,77,228
Sunlight Talisman,78,229
Sunlight Talisman,79,229
Sunlight Talisman,80,229
Sunlight Talisman,81,230
Sunlight Talisman,82,230
Sunlight Talisman,83,230
Sunlight Talisman,84,230
Sunlight Talisman,85,231
Sunlight Talisman,86,231
Sunlight Talisman,87,231
Sunlight Talisman,88,231
Sunlight Talisman,89,232
Sunlight Talisman,90,232
Sunlight Talisman,91,232
Sunlight Talisman,92,233
Sunlight Talisman,93,233
Sunlight Talisman,94,233
Sunlight Talisman,95,233
Sunlight Talisman,96,234
Sunlight Talisman,97,234
Sunlight Talisman,98,234
Sunlight Talisman,99,234
Talisman,11,114
Talisman,12,115
Talisman,13,117
Talisman,14,118
Talisman,15,120
Talisman,16,125
Talisman,17,130
Talisman,18,135
Talisman,19,140
Talisman,20,145
Talisman,21,146
Talisman,22,148
Talisman,23,149
Talisman,24,151
Talisman,25,152
Talisman,26,154
Talisman,27,155
Talisman,28,157
Talisman,29,158
Talisman,30,160
Talisman,31,161
Talisman,32,163
Talisman,33,164
Talisman,34,166
Talisman,35,167
Talisman,36,169
Talisman,37,170
Talisman,38,172
Talisman,39,173
Talisman,40,175
Talisman,41,176
Talisman,42,178
Talisman,43,179
Talisman,44,181
Talisman,45,182
Talisman,46,183
Talisman,47,185
Talisman,48,187
Talisman,49,188
Talisman,50,190
Talisman,51,190
Talisman,52,190
Talisman,53,190
Talisman,54,190
Talisman,55,191
Talisman,56,191
Talisman,57,191
Talisman,58,191
Talisman,59,191
Talisman,60,192
Talisman,61,192
Talisman,62,192
Talisman,63,192
Talisman,64,192
Talisman,65,193
Talisman,66,193
Talisman,67,193
Talisman,68,193
Talisman,69,193
Talisman,70,194
Talisman,71,194
Talisman,72,194
Talisman,73,194
Talisman,74,194
Talisman,75,195
Talisman,76,195
Talisman,77,195
Talisman,78,195
Talisman,79,195
Talisman,80,196
Talisman,81,196
Talisman,82,196
Talisman,83,196
Talisman,84,196
Talisman,85,197
Talisman,86,197
Talisman,87,197
Talisman,88,197
Talisman,89,197
Talisman,90,198
Talisman,91,198
Talisman,92,198
Talisman,93,198
Talisman,94,198
Talisman,95,199
Talisman,96,199
Talisman,97,199
Talisman,98,199
Talisman,99,200
Thorolund Talisman,11,165
Thorolund Talisman,12,165
Thorolund Talisman,13,165
Thorolund Talisman,14,165
Thorolund Talisman,15,165
Thorolund Talisman,16,165
Thorolund Talisman,17,165
Thorolund Talisman,18,165
Thorolund Talisman,19,165
Thorolund Talisman,20,165
Thorolund Talisman,21,165
Thorolund Talisman,22,165
Thorolund Talisman,23,165
Thorolund Talisman,24,165
Thorolund Talisman,25,165
Thorolund Talisman,26,165
Thorolund Talisman,27,165
Thorolund Talisman,28,165
Thorolund Talisman,29,165
Thorolund Talisman,30,165
Thorolund Talisman,31,165
Thorolund Talisman,32,165
Thorolund Talisman,33,165
Thorolund Talisman,34,165
Thorolund Talisman,35,165
Thorolund Talisman,36,165
Thorolund Talisman,37,165
Thorolund Talisman,38,165
Thorolund Talisman,39,165
Thorolund Talisman,40,165
Thorolund Talisman,41,165
Thorolund Talisman,42,165
Thorolund Talisman,43,165
Thorolund Talisman,44,165
Thorolund Talisman,45,165
Thorolund Talisman,46,165
Thorolund Talisman,47,165
Thorolund Talisman,48,165
Thorolund Talisman,49,165
Thorolund Talisman,50,165
Thorolund Talisman,51,165
Thorolund Talisman,52,165
Thorolund Talisman,53,165
Thorolund Talisman,54,165
Thorolund Talisman,55,165
Thorolund Talisman,56,165
Thorolund Talisman,57,165
Thorolund Talisman,58,165
Thorolund Talisman,59,165
Thorolund Talisman,60,165
Thorolund Talisman,61,165
Thorolund Talisman,62,165
Thorolund Talisman,63,165
Thorolund Talisman,64,165
Thorolund Talisman,65,165
Thorolund Talisman,66,165
Thorolund Talisman,67,165
Thorolund Talisman,68,165
Thorolund Talisman,69,165
Thorolund Talisman,70,165
Thorolund Talisman,71,165
Thorolund Talisman,72,165
Thorolund Talisman,73,165
Thorolund Talisman,74,165
Thorolund Talisman,75,165
Thorolund Talisman,76,165
Thorolund Talisman,77,165
Thorolund Talisman,78,165
Thorolund Talisman,79,165
Thorolund Talisman,80,165
Thorolund Talisman,81,165
Thorolund Talisman,82,165
Thorolund Talisman,83,165
Thorolund Talisman,84,165
Thorolund Talisman,85,165
Thorolund Talisman,86,165
Thorolund Talisman,87,165
Thorolund Talisman,88,165
Thorolund Talisman,89,165
Thorolund Talisman,90,165
Thorolund Talisman,91,165
Thorolund Talisman,92,165
Thorolund Talisman,93,165
Thorolund Talisman,94,165
Thorolund Talisman,95,165
Thorolund Talisman,96,165
Thorolund Talisman,97,165
Thorolund Talisman,98,165
Thorolund Talisman,99,165
Velka's Talisman,11,
Velka's Talisman,12,
Velka's Talisman,13,
Velka's Talisman,14,
Velka's Talisman,15,
Velka's Talisman,16,127
Velka's Talisman,17,133
Velka's Talisman,18,138
Velka's Talisman,19,144
Velka's Talisman,20,149
Velka's Talisman,21,150
Velka's Talisman,22,152
Velka's Talisman,23,154
Velka's Talisman,24,155
Velka's Talisman,25,157
Velka's Talisman,26,158
Velka's Talisman,27,160
Velka's Talisman,28,162
Velka's Talisman,29,164
Velka's Talisman,30,166
Velka's Talisman,31,166
Velka's Talisman,32,168
Velka's Talisman,33,170
Velka's Talisman,34,172
Velka's Talisman,35,174
Velka's Talisman,36,175
Velka's Talisman,37,177
Velka's Talisman,38,178
Velka's Talisman,39,180
Velka's Talisman,40,182
Velka's Talisman,41,183
Velka's Talisman,42,185
Velka's Talisman,43,187
Velka's Talisman,44,188
Velka's Talisman,45,190
Velka's Talisman,46,191
Velka's Talisman,47,193
Velka's Talisman,48,195
Velka's Talisman,49,197
Velka's Talisman,50,199
Velka's Talisman,51,199
Velka's Talisman,52,199
Velka's Talisman,53,199
Velka's Talisman,54,199
Velka's Talisman,55,199
Velka's Talisman,56,199
Velka's Talisman,57,199
Velka's Talisman,58,199
Velka's Talisman,59,199
Velka's Talisman,60,200
Velka's Talisman,61,200
Velka's Talisman,62,200
Velka's Talisman,63,200
Velka's Talisman,64,201
Velka's Talisman,65,201
Velka's Talisman,66,201
Velka's Talisman,67,201
Velka's Talisman,68,202
Velka's Talisman,69,202
Velka's Talisman,70,202
Velka's Talisman,71,202
Velka's Talisman,72,203
Velka's Talisman,73,203
Velka's Talisman,74,203
Velka's Talisman,75,203
Velka's Talisman,76,204
Velka's Talisman,77,204
Velka's Talisman,78,204
Velka's Talisman,79,204
Velka's Talisman,80,205
Velka's Talisman,81,205
Velka's Talisman,82,205
Velka's Talisman,83,205
Velka's Talisman,84,206
Velka's Talisman,85,206
Velka's Talisman,86,206
Velka's Talisman,87,206
Velka's Talisman,88,207
Velka's Talisman,89,207
Velka's Talisman,90,207
Velka's Talisman,91,207
Velka's Talisman,92,208
Velka's Talisman,93,208
Velka's Talisman,94,208
Velka's Talisman,95,208
Velka's Talisman,96,209
Velka's Talisman,97,209
Velka's Talisman,98,209
Velka's Talisman,99,209
